schoolid,schoolname,CalendarYear,Firsttimebaryear,GradTotal,GradDidNotTake,GradTakers,graddidnottakepct,GradNoInfo,gradnoinfopct,graddidnottakenoinfopct,PriorYrFirstTimeTaker,EarlyFirstTimeTakers,TotalFirstTimeTakers,totalfirsttimepassers,reportpct,avgschoolpasspct,avgstatepasspct,avgpasspctdiff,GradAltPath,AvgPassPctAltPath,UltimateBarYear,UltimateCohortTotal,UltimateDidNotTake,UltimateNoInfo,UltimateTakers,UltimatePassers,UltimateSchoolPassPct,UltimateAltPath,UltimatePassPctAltPath
00309000,The Ohio State University,2024,2023,178,7,170,0.0393,1,0.0056,0.0449,12,0,182,165,,0.9066,0.7717,0.1349,0,0.9066,2021,175,7,0,168,162,0.9643,0,0.9643
00312300,University of Akron,2024,2023,120,44,76,0.3667,0,0,0.3667,44,0,120,87,,0.725,0.7708,-0.0458,0,0.725,2021,126,9,0,117,100,0.8547,0,0.8547
00312500,University of Cincinnati,2024,2023,128,12,116,0.0938,0,0,0.0938,0,1,116,102,,0.8793,0.7713,0.108,0,0.8793,2021,124,2,6,116,107,0.9224,0,0.9224
00312700,University of Dayton,2024,2023,114,8,106,0.0702,0,0,0.0702,5,0,111,96,,0.8649,0.7596,0.1053,0,0.8649,2021,65,6,0,59,46,0.7797,0,0.7797
00313100,University of Toledo,2024,2023,105,24,73,0.2286,8,0.0762,0.3048,20,0,93,65,,0.6989,0.7216,-0.0227,0,0.6989,2021,75,0,4,71,58,0.8169,0,0.8169
00316614,Oklahoma City University,2024,2023,160,12,145,0.075,3,0.0188,0.0938,15,0,160,95,,0.5938,0.7125,-0.1187,,0.5938,2021,135,,3,132,112,0.8485,0,0.8485
00318400,University of Oklahoma,2024,2023,168,7,161,0.0417,0,0,0.0417,4,0,165,145,,0.8788,0.7227,0.1561,0,0.8788,2021,171,1,0,170,164,0.9647,0,0.9647
00318500,University of Tulsa,2024,2023,112,34,78,0.3036,0,0,0.3036,25,0,103,73,,0.7087,0.7176,-0.0089,0,0.7087,2021,99,2,2,94,77,0.8191,0,0.8191
00319700,Lewis and Clark College,2024,2023,178,26,152,0.1461,0,0,0.1461,13,6,165,128,,0.7758,0.7402,0.0356,0,0.7758,2021,176,13,0,163,147,0.9018,0,0.9018
00322300,University of Oregon,2024,2023,154,13,141,0.0844,0,0,0.0844,9,1,150,115,,0.7667,0.745,0.0217,0,0.7667,2021,127,3,0,124,116,0.9355,0,0.9355
